2,3
2,5
3,5
2,6
3,6
5,6
10,11
10,12
11,12
1,13
14,15
1,16
13,16
2,17
3,17
5,17
6,17
1,18
13,18
1,19
13,19
16,19
18,19
1,21
13,21
18,21
19,21
22,23
22,24
23,24
26,27
2,28
3,28
5,28
6,28
17,28
27,29
7,30
7,31
30,31
3,32
6,32
7,32
28,32
30,32
31,32
7,33
22,33
23,33
24,33
30,33
31,33
32,33
20,34
20,35
34,35
7,36
20,36
30,36
31,36
32,36
33,36
34,36
35,36
7,37
20,37
30,37
31,37
32,37
33,37
34,37
35,37
36,37
2,38
3,38
5,38
6,38
17,38
28,38
2,40
3,40
5,40
6,40
17,40
28,40
38,40
1,41
13,41
16,41
19,41
2,42
3,42
5,42
6,42
17,42
28,42
38,42
40,42
1,43
13,43
16,43
19,43
41,43
7,45
20,45
30,45
31,45
32,45
33,45
34,45
35,45
36,45
37,45
20,46
34,46
35,46
36,46
37,46
45,46
20,47
34,47
35,47
36,47
37,47
45,47
46,47
1,48
13,48
18,48
19,48
21,48
21,49
44,49
48,49
21,50
44,50
48,50
49,50
26,51
27,51
52,53
52,54
53,54
52,55
53,55
54,55
2,57
3,57
5,57
6,57
17,57
28,57
32,57
38,57
40,57
42,57
26,58
27,58
29,58
51,58
26,59
27,59
51,59
58,59
26,60
27,60
51,60
58,60
59,60
26,61
27,61
29,61
51,61
58,61
59,61
60,61
26,62
27,62
29,62
51,62
58,62
59,62
60,62
61,62
2,63
3,63
5,63
6,63
17,63
28,63
38,63
40,63
42,63
57,63
2,64
3,64
5,64
6,64
17,64
28,64
38,64
40,64
42,64
57,64
63,64
2,65
3,65
5,65
6,65
17,65
28,65
38,65
40,65
42,65
57,65
63,65
64,65
12,66
10,67
11,67
12,67
2,68
3,68
5,68
6,68
17,68
28,68
38,68
40,68
42,68
57,68
63,68
64,68
65,68
71,72
73,75
7,78
20,80
36,80
37,80
45,80
46,80
47,80
74,82
85,86
85,87
86,87
85,88
86,88
87,88
74,90
82,90
82,92
20,93
36,93
37,93
45,93
46,93
47,93
80,93
81,94
89,96
70,97
70,98
97,98
70,99
97,99
98,99
95,103
95,104
103,104
95,105
103,105
104,105
95,106
103,106
104,106
105,106
